Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bugs Bunny","The Bunny Slope > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106460410/bugs-bunny,3.2,-1,Sport,5.8,1,60,44.29596,-103.89038
"Death Flake from HELL","Wall of Denial > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106818379/death-flake-from-hell,3.3,-1,Sport,5.10a,1,90,44.09938,-107.28902
"Lovin' You is a Dirty Job","Upper Ice Caves (Feline area) > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/109412189/lovin-you-is-a-dirty-job,3.1,-1,Sport,5.10a/b,1,100,39.71269,-107.69257
"Fool Effect","E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106046063/fool-effect,3.2,-1,Sport,5.9,1,120,38.05426,-81.06106
"Creature Feature","Phantasia > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105889536/creature-feature,3.2,-1,"Trad, Sport",5.9,1,100,37.84495,-83.64369
"Spiders From Mars","A. Mr. Jimmy > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106278204/spiders-from-mars,3.2,-1,Sport,5.10b,1,,37.50459,-88.68908
"Amazing Face","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734633/amazing-face,3.2,-1,Sport,5.10a,1,90,37.8471,-121.9258
"Boob Loob","Right Side > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106081874/boob-loob,3.2,-1,Sport,5.10b,1,75,42.573,-108.7155
Animation,"Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749785/animation,3.1,-1,Sport,5.8,1,100,39.99752,-105.41522
Monstrosity,"Mineshaft Wall > The Palace > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/105911529/monstrosity,3.2,-1,Sport,5.10,1,80,40.6923,-105.379
Cryptic,"Headstone Rock > Ryan Campground > Sheep Pass Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105721750/cryptic,3.0,-1,Sport,5.8,1,50,33.98439,-116.15238
"Stubborn Swede","E.  The Monument > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107016678/stubborn-swede,3.2,-1,Sport,5.8,1,60,37.50228,-88.68611
"Sunshine Buttress","King Pins > Sunshine Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/107127972/sunshine-buttress,3.1,-1,Sport,5.10a,1,75,47.02297,-119.97362
"Send Me on My Way","Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106085043/send-me-on-my-way,3.1,-1,Sport,5.9-,1,75,37.72482,-83.62612
"Rat Stew","Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106061906/rat-stew,3.1,-1,Sport,5.10a,1,75,37.72482,-83.62612
Saturated,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/108440738/saturated,3.1,-1,Sport,5.8,1,90,35.17715,-85.68247
"Heart of the Sun","Great Wall of China > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105897050/heart-of-the-sun,3.1,-1,Sport,5.9,1,90,37.51637,-118.57089
"Better than Bitter","North and West Faces > Challenge Buttress > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741473/better-than-bitter,3.1,-1,Sport,5.10b/c,1,80,40.62207,-111.74571
"Love Handle","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105926879/love-handle,3.2,-1,"Trad, Sport",5.10b,1,80,35.07379,-85.40108
"She got the Bosch, I got Drilled","Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.1,-1,Sport,5.10a,1,90,38.2422,-80.83949
"Scream Cheese","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741593/scream-cheese,3.1,-1,Sport,5.9,1,70,42.08229,-113.7218
"Eight Flake","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886184/eight-flake,3.1,-1,Sport,5.8,1,,30.3623,-98.125
"Out of Gas","Eavesdown Docks > Serenity > American Fork Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/108326353/out-of-gas,3.1,-1,Sport,5.9,1,60,40.45095,-111.66614
"Earthbound Misfit","A. The Gallery > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106357485/earthbound-misfit,3.2,-1,Sport,5.10a,1,55,37.50699,-88.68508
"Little Wing","Secret Garden > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110335844/little-wing,3.1,-1,Sport,5.9,1,60,37.64036,-83.67556
